id,date,datetime,platform,scene_cloud,mean_C,median_C,q10_C,q90_C,min_C,max_C,valid_pixels,valid_fraction,file,source
LC08_L2SP_196024_20210602_02_T1,2021-06-02,2021-06-02T10:21:14.915252Z,landsat-8,14.13,32.237771430577546,31.803998947143555,26.929901123046875,38.26063919067383,20.042591094970703,59.59250259399414,122828,0.14357552478451047,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20210602_lc08_l2sp_196024_20210602_02_t1_LST_C.tif,local_existing
LC09_L2SP_197024_20230911_02_T1,2023-09-11,2023-09-11T10:27:44.033823Z,landsat-9,0.87,33.93982264023992,34.10774230957031,29.2268123626709,38.25380325317383,25.094425201416016,55.05337142944336,452316,0.5287190792688201,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230911_lc09_l2sp_197024_20230911_02_t1_LST_C.tif,local_existing
LC08_L2SP_196024_20220808_02_T1,2022-08-08,2022-08-08T10:21:58.839129Z,landsat-8,3.9,33.1407181835056,33.77277755737305,26.721403121948242,38.25038528442383,23.600749969482422,54.728660583496094,125436,0.14662405580869065,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20220808_lc08_l2sp_196024_20220808_02_t1_LST_C.tif,local_existing
LC09_L2SP_196024_20230531_02_T1,2023-05-31,2023-05-31T10:20:58.224574Z,landsat-9,4.77,32.099198002552555,32.08769607543945,25.890823364257812,38.22304153442383,21.1124324798584,58.65254592895508,148755,0.1738819909900011,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230531_lc09_l2sp_196024_20230531_02_t1_LST_C.tif,local_existing
LC08_L2SP_197025_20220730_02_T1,2022-07-30,2022-07-30T10:28:28.837162Z,landsat-8,3.4,32.803370837077175,33.229312896728516,26.803434371948242,37.55994415283203,20.866334915161133,54.800437927246094,309598,0.3553900017218619,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20220730_lc08_l2sp_197025_20220730_02_t1_LST_C.tif,local_existing
LC08_L2SP_197024_20220730_02_T1,2022-07-30,2022-07-30T10:28:04.950358Z,landsat-8,5.7,32.66837170499588,33.123355865478516,26.506067276000977,37.48133087158203,20.862916946411133,54.913230895996094,343254,0.40123484209123617,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20220730_lc08_l2sp_197024_20220730_02_t1_LST_C.tif,local_existing
LC08_L2SP_196024_20230811_02_T1,2023-08-11,2023-08-11T10:21:21.166365Z,landsat-8,0.07,32.5631709892706,32.26201248168945,27.95872688293457,37.47791290283203,22.814605712890625,58.32099914550781,113736,0.13294774714960012,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230811_lc08_l2sp_196024_20230811_02_t1_LST_C.tif,local_existing
LC08_L2SP_197025_20220511_02_T1,2022-05-11,2022-05-11T10:27:58.504933Z,landsat-8,3.26,32.01353873936376,32.45000457763672,26.075397491455078,37.375370025634766,20.29894256591797,55.16274642944336,417663,0.4794386730184239,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20220511_lc08_l2sp_197025_20220511_02_t1_LST_C.tif,local_existing
LC08_L2SP_197024_20220511_02_T1,2022-05-11,2022-05-11T10:27:34.618129Z,landsat-8,4.24,31.839510924636112,32.26201248168945,25.887405395507812,37.283084869384766,19.90928840637207,55.11831283569336,452591,0.5290405309680722,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20220511_lc08_l2sp_197024_20220511_02_t1_LST_C.tif,local_existing
LC09_L2SP_196024_20230616_02_T1,2023-06-16,2023-06-16T10:20:48.646814Z,landsat-9,28.32,29.537287351605055,29.031984329223633,23.04190444946289,36.9412841796875,13.374034881591797,54.0245475769043,86486,0.10109480604188925,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20230616_lc09_l2sp_196024_20230616_02_t1_LST_C.tif,local_existing
LC09_L2SP_197024_20240828_02_T1,2024-08-28,2024-08-28T10:27:27.327172Z,landsat-9,0.07,32.634372408292734,33.05499267578125,27.422096252441406,36.848995208740234,24.082691192626953,54.844871520996094,451817,0.5281357905490862,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240828_lc09_l2sp_197024_20240828_02_t1_LST_C.tif,local_existing
LC09_L2SP_197025_20240828_02_T1,2024-08-28,2024-08-28T10:27:51.213951Z,landsat-9,0.01,32.723581937748875,33.143863677978516,27.599834442138672,36.835323333740234,24.157888412475586,54.65004348754883,408874,0.4693497101532457,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240828_lc09_l2sp_197025_20240828_02_t1_LST_C.tif,local_existing
LC08_L2SP_197025_20220628_02_T1,2022-06-28,2022-06-28T10:28:18.822451Z,landsat-8,24.94,30.893684255777394,30.74441146850586,24.742368698120117,36.787471771240234,18.98300552368164,60.51878356933594,409407,0.4699615450840843,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20220628_lc08_l2sp_197025_20220628_02_t1_LST_C.tif,local_existing
LC08_L2SP_197025_20220612_02_T1,2022-06-12,2022-06-12T10:28:13.050259Z,landsat-8,7.44,30.7525976847575,30.778593063354492,24.29460906982422,36.705440521240234,20.695432662963867,57.254573822021484,414226,0.4754933134362624,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20220612_lc08_l2sp_197025_20220612_02_t1_LST_C.tif,local_existing
LC08_L2SP_197024_20220628_02_T1,2022-06-28,2022-06-28T10:27:54.939883Z,landsat-8,8.64,30.773475830089446,30.539331436157227,24.674009323120117,36.702022552490234,18.98300552368164,60.50852966308594,442056,0.5167260085985407,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20220628_lc08_l2sp_197024_20220628_02_t1_LST_C.tif,local_existing
LC09_L2SP_196025_20240805_02_T1,2024-08-05,2024-08-05T10:21:24.336506Z,landsat-9,24.99,30.854401544466217,30.74782943725586,24.81072998046875,36.691768646240234,18.900972366333008,52.5684700012207,172523,0.20166476912754502,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20240805_lc09_l2sp_196025_20240805_02_t1_LST_C.tif,local_existing
LC08_L2SP_196025_20250512_02_T1,2025-05-12,2025-05-12T10:21:17.302223Z,landsat-8,0.49,30.940028561529974,31.315221786499023,24.79364013671875,36.45250701904297,19.629011154174805,55.65835952758789,452050,0.5284081478069981,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20250512_lc08_l2sp_196025_20250512_02_t1_LST_C.tif,local_existing
LC09_L2SP_197025_20250612_02_T1,2025-06-12,2025-06-12T10:27:36.375303Z,landsat-9,5.46,31.133827149340682,31.301549911499023,25.552440643310547,36.3978157043457,20.606565475463867,55.07729721069336,419457,0.4814980198588073,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20250612_lc09_l2sp_197025_20250612_02_t1_LST_C.tif,local_existing
LC09_L2SP_196024_20220901_02_T1,2022-09-01,2022-09-01T10:21:43.798525Z,landsat-9,22.74,31.78906675592524,32.08085632324219,26.154010772705078,36.3943977355957,20.30236053466797,51.64218521118164,77841,0.09098953353267235,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20220901_lc09_l2sp_196024_20220901_02_t1_LST_C.tif,local_existing
LC08_L2SP_196025_20220723_02_T1,2022-07-23,2022-07-23T10:22:13.264964Z,landsat-8,22.87,31.48434870638049,31.698040008544922,25.880569458007812,36.3533821105957,18.589933395385742,55.313140869140625,426167,0.4981531138733878,data/landsat_lst/koeln/03_landsat_scenes/all_processed_lst_c/20220723_lc08_l2sp_196025_20220723_02_t1_LST_C.tif,local_existing
